"DateTime";"Wilgotność";"Temperatura Average";"Temperatura Range (low)";"Temperatura Range (high)"
"2021-02-27 00:00:00";50;0;0;0
"2021-02-28 00:00:00";46;23,93;22,2;27,2
"2021-03-01 00:00:00";46;21,74;19,1;24,8
"2021-03-02 00:00:00";46;21,44;19,4;24,8
"2021-03-03 00:00:00";47;21,52;19,2;23,8
"2021-03-04 00:00:00";47;21,29;18,4;25,7
"2021-03-05 00:00:00";47;21,09;18,7;25,6
"2021-03-06 00:00:00";43;21,73;17,4;26,3
"2021-03-07 00:00:00";44;22,53;19,7;25,1
"2021-03-08 00:00:00";45;21,57;18,6;25,9
"2021-03-09 00:00:00";45;20,81;18,6;24,4
"2021-03-10 00:00:00";45;20,26;17,4;24,4
"2021-03-11 00:00:00";44;20,13;16,8;24,2
"2021-03-12 00:00:00";46;20,59;17,7;24,7
"2021-03-13 00:00:00";45;21,75;19;24,5
"2021-03-14 00:00:00";45;21,88;18,4;25,2
"2021-03-15 00:00:00";47;20,77;18,8;23,5
"2021-03-16 00:00:00";46;21,1;18,2;25,7
"2021-03-17 00:00:00";46;20,58;17,9;24,5
"2021-03-18 00:00:00";46;20,19;17,5;23,9
"2021-03-19 00:00:00";46;21,77;19,8;24,9
"2021-03-20 00:00:00";43;22,08;18,9;27,1
"2021-03-21 00:00:00";43;22,57;19,6;24,9
"2021-03-22 00:00:00";44;20,55;18,3;23,4
"2021-03-23 00:00:00";45;20,64;18,2;23,9
"2021-03-24 00:00:00";46;20,94;18,2;24,8
"2021-03-25 00:00:00";45;20,69;18,2;24,9
"2021-03-26 00:00:00";44;20,71;18,7;23,7
"2021-03-27 00:00:00";44;21,92;19,6;24,6
"2021-03-28 00:00:00";45;23,08;20,9;25,4
"2021-03-29 00:00:00";46;21,65;19,7;23,9
"2021-03-30 00:00:00";48;21,15;19,3;23,4
"2021-03-31 00:00:00";48;21,45;19,9;24
"2021-04-01 00:00:00";47;21,79;20,4;24,3
"2021-04-02 00:00:00";46;21,86;20,4;24,5
"2021-04-03 00:00:00";43;22,29;18,7;26,9
"2021-04-04 00:00:00";42;22,96;19,9;27
"2021-04-05 00:00:00";41;22,42;20,4;24,8
"2021-04-06 00:00:00";41;20,84;18,4;23,3
"2021-04-07 00:00:00";42;20,23;17,9;23,4
"2021-04-08 00:00:00";43;20,05;17,9;24
"2021-07-13 00:00:00";71;25,88;24;27,8
"2021-07-14 00:00:00";74;26,25;24,4;30
"2021-07-15 00:00:00";70;26,03;24,1;28,9
"2021-07-16 00:00:00";71;25,69;24,2;26,4
"2021-07-18 00:00:00";68;25,46;25,3;25,5
"2021-07-19 00:00:00";60;25,01;23,5;26,2
"2021-07-20 00:00:00";56;23,66;22,6;25,4
"2021-07-21 00:00:00";58;23,15;22,8;24,2
"2021-07-22 00:00:00";58;22,78;21,9;24,1
"2021-07-23 00:00:00";65;22,48;21,8;23,1
"2021-07-24 00:00:00";64;21,9;21,2;23,7
"2021-07-25 00:00:00";64;23,47;22,6;25
"2021-07-26 00:00:00";67;23,7;23,4;24,2
"2021-07-27 00:00:00";74;23,57;22,8;24,6
"2021-07-28 00:00:00";72;23,77;22,4;24,9
"2021-07-29 00:00:00";72;24,22;22,9;25,4
"2021-07-30 00:00:00";65;23,4;22;25,4
"2021-07-31 00:00:00";67;22,67;20,8;24,1
"2021-08-01 00:00:00";70;22,45;21,4;23,2
"2021-08-02 00:00:00";69;22,2;21,5;23,2
"2021-08-03 00:00:00";62;22,26;21,6;23,3
"2021-08-04 00:00:00";68;21,57;21;22,3
"2021-08-05 00:00:00";69;21,02;20,6;22,1
"2021-08-06 00:00:00";72;21,03;19,9;23,2
"2021-08-07 00:00:00";68;22,05;21,3;22,9
"2021-08-08 00:00:00";71;22,35;21,9;23,4
"2021-08-09 00:00:00";71;21,96;21,4;22,9
"2021-08-10 00:00:00";67;21,45;20,5;22,1
"2021-08-11 00:00:00";68;21,77;20,9;23,2
"2021-08-12 00:00:00";62;21,87;20,6;25,9
"2021-08-13 00:00:00";63;22,03;20,9;23,1
"2021-08-14 00:00:00";70;22,9;21,9;24,4
"2021-08-15 00:00:00";70;22,92;21,8;23,8
"2021-08-16 00:00:00";70;23;21,9;24,2
"2021-08-17 00:00:00";66;23,01;22,5;23,7
"2021-08-18 00:00:00";60;22,29;21,9;24,1
"2021-08-19 00:00:00";64;21,86;21,4;22,4
"2021-08-20 00:00:00";68;21,88;21,4;22,4
"2021-08-21 00:00:00";66;22,09;21,4;28,2
"2021-08-22 00:00:00";65;21,77;21,4;23,4
"2021-08-23 00:00:00";68;21,25;20,8;21,9
"2021-08-24 00:00:00";67;20,4;19,9;20,9
"2021-08-25 00:00:00";62;19,9;19,5;23,6
"2021-08-26 00:00:00";64;19,12;18,8;19,6
"2021-08-27 00:00:00";65;18,83;18,5;20,8
"2021-08-28 00:00:00";65;18,72;18,4;19,4
"2021-08-29 00:00:00";66;19,72;18,2;23,7
"2021-08-30 00:00:00";66;21,35;20;23,5
"2021-08-31 00:00:00";65;22,07;20,9;25
"2021-09-01 00:00:00";61;22,43;21,3;24,4
"2021-09-02 00:00:00";55;22,24;21,4;26,2
"2021-09-03 00:00:00";56;21,38;20,8;23,9
"2021-09-04 00:00:00";53;20,58;19,7;25,4
"2021-09-05 00:00:00";50;20,53;19,1;24
"2021-09-06 00:00:00";50;21,38;19,8;24,7
"2021-09-07 00:00:00";52;21,61;20,8;24,1
"2021-09-08 00:00:00";59;21,22;20,2;24
"2021-09-09 00:00:00";61;21,33;20,5;23,5
"2021-09-10 00:00:00";60;21,42;20,8;23,5
"2021-09-11 00:00:00";60;21,77;20,9;23,8
"2021-09-12 00:00:00";68;21,85;21,2;22,6
"2021-09-13 00:00:00";70;21,6;21,2;22,2
"2021-09-14 00:00:00";68;21,06;20,8;21,6
"2021-09-15 00:00:00";66;20,58;19,9;21,1
"2021-09-16 00:00:00";70;21,01;19,9;24,3
"2021-09-17 00:00:00";70;22,57;21,3;25
"2021-09-18 00:00:00";59;22,57;20,1;24,8
"2021-09-19 00:00:00";51;22,09;20,3;25,4
"2021-09-20 00:00:00";48;21,36;19,4;24,6
"2021-09-21 00:00:00";49;21,21;19,7;23,9
"2021-09-22 00:00:00";50;21,53;19,6;24,8
"2021-09-23 00:00:00";56;22,02;20,6;24,9
"2021-09-24 00:00:00";52;22,49;20,8;25,9
"2021-09-25 00:00:00";59;23,04;21,5;25,7
"2021-09-26 00:00:00";57;23,45;22,4;26
"2021-09-27 00:00:00";53;23,42;22,3;26,2
"2021-09-28 00:00:00";49;23,08;21,8;25,6
"2021-09-29 00:00:00";48;22,98;21,6;25,9
"2021-09-30 00:00:00";53;23,1;21,8;25,9
"2021-10-01 00:00:00";56;23,06;22;25,8
"2021-10-02 00:00:00";58;22,69;20,8;25,3
"2021-10-03 00:00:00";57;23,05;21,6;25,8
"2021-10-04 00:00:00";59;23,45;22,2;26
"2021-10-05 00:00:00";56;23,51;22,2;25,9
"2021-10-06 00:00:00";53;23,55;22,1;26,3
"2021-10-07 00:00:00";47;23,19;21,6;26
"2021-10-08 00:00:00";47;23,04;22;25,4
"2021-10-09 00:00:00";48;22,99;21,3;26,2
"2021-10-10 00:00:00";47;23,17;21,9;25,4
"2021-10-11 00:00:00";47;22,09;20,8;24,4
"2021-10-12 00:00:00";49;22,04;20,5;24,5
"2021-10-13 00:00:00";51;21,93;20;24,8
"2021-10-14 00:00:00";50;21,96;19,9;25,1
"2021-10-15 00:00:00";52;22,14;20,4;25,8
"2021-10-16 00:00:00";52;23,07;19,5;26,8
"2021-10-17 00:00:00";51;23,05;20,9;26
"2021-10-18 00:00:00";50;22,65;20,1;26,3
"2021-10-19 00:00:00";51;22,69;20,6;25,5
"2021-10-20 00:00:00";55;22,89;21,3;25,7
"2021-10-21 00:00:00";52;23,26;21,4;26,5
"2021-10-22 00:00:00";49;23,47;21,4;26,1
"2021-10-23 00:00:00";51;22,93;20,8;25,7
"2021-10-24 00:00:00";50;23,2;20,8;25,7
"2021-10-25 00:00:00";48;22,37;20;25,4
"2021-10-26 00:00:00";49;22,41;20,3;25,5
"2021-10-27 00:00:00";51;22,65;20,6;26
"2021-10-28 00:00:00";52;23,05;21,3;26,6
"2021-10-29 00:00:00";51;23,21;21,7;26
"2021-10-30 00:00:00";52;23,02;21,4;24,4
"2021-10-31 00:00:00";51;22,4;20,8;24,5
"2021-11-01 00:00:00";51;22,61;20,2;24,5
"2021-11-02 00:00:00";48;22,16;19,9;24,9
"2021-11-03 00:00:00";50;22,83;20,3;26,5
"2021-11-04 00:00:00";49;22,61;20,3;25,9
"2021-11-05 00:00:00";48;22,61;20,2;25,4
"2021-11-06 00:00:00";50;22,54;19,5;25,6
"2021-11-07 00:00:00";50;23,01;19,7;25,7
"2021-11-08 00:00:00";50;22,63;20;25,4
"2021-11-09 00:00:00";48;22,34;19,3;25,9
"2021-11-10 00:00:00";46;21,91;19,4;25
"2021-11-11 00:00:00";48;23,08;20,3;26,5
"2021-11-12 00:00:00";53;23,14;21,1;25
"2021-11-13 00:00:00";54;21,97;19,5;24
"2021-11-14 00:00:00";53;21,6;17,1;24,6
"2021-11-15 00:00:00";51;22,52;20,4;25,2
"2021-11-16 00:00:00";51;23,24;20,5;26,2
"2021-11-17 00:00:00";49;23,5;21,1;26
"2021-11-18 00:00:00";48;23,81;21,2;26,2
"2021-11-19 00:00:00";51;23,59;21,3;25,4
"2021-11-20 00:00:00";52;22,3;18,9;23,6
"2021-11-21 00:00:00";55;22,83;19,6;25,5
"2021-11-22 00:00:00";51;22,41;19,6;25,8
"2021-11-23 00:00:00";48;22,4;19,4;26,3
"2021-11-24 00:00:00";48;23,65;22,3;25,1
"2021-11-25 00:00:00";48;22,32;19,9;25,8
"2021-11-26 00:00:00";47;22,6;20,9;24,7
"2021-11-27 00:00:00";48;22,27;18,9;25,4
"2021-11-28 00:00:00";46;23,28;20,3;25
"2021-11-29 00:00:00";46;22,09;18,4;25,9
"2021-11-30 00:00:00";44;21,73;18,5;25,8
"2021-12-01 00:00:00";44;21,73;18,8;26,1
"2021-12-02 00:00:00";44;22,02;19,2;26
"2021-12-03 00:00:00";44;21,65;19,4;24,4
"2021-12-04 00:00:00";45;21,92;18,4;26,2
"2021-12-05 00:00:00";43;22,96;19,4;25,7
"2021-12-06 00:00:00";43;21,95;18,7;26,3
"2021-12-07 00:00:00";41;21,73;18,2;25,8
"2021-12-08 00:00:00";40;21,38;18,3;25,5
"2021-12-09 00:00:00";41;21,11;17,6;26
"2021-12-10 00:00:00";41;21,34;18;26,2
"2021-12-11 00:00:00";44;22,59;19,9;26,2
"2021-12-12 00:00:00";44;22,99;20,8;25,7
"2021-12-13 00:00:00";43;21,81;18,8;25,7
"2021-12-14 00:00:00";41;21,18;17,9;25,7
"2021-12-15 00:00:00";43;20,83;18;24,7
"2021-12-16 00:00:00";46;21,45;18;25,9
"2021-12-17 00:00:00";44;21,66;18,6;25,5
"2021-12-18 00:00:00";45;22,91;20;27,1
"2021-12-19 00:00:00";45;23,43;20,9;26,4
"2021-12-20 00:00:00";42;22,51;19,6;26,2
"2021-12-21 00:00:00";39;21,78;18,5;25,9
"2021-12-22 00:00:00";40;21,25;17,9;25,2
"2021-12-23 00:00:00";40;20,98;17,7;25,7
"2021-12-24 00:00:00";41;22,28;19;26,9
"2021-12-25 00:00:00";40;22,14;19,4;24,8
"2021-12-26 00:00:00";38;22,44;19,6;25,2
"2021-12-27 00:00:00";38;21,06;17,1;25,2
"2021-12-28 00:00:00";41;21,8;18,5;26
"2021-12-29 00:00:00";38;21,03;16,9;25,3
"2021-12-30 00:00:00";41;21,03;17,6;25,9
"2021-12-31 00:00:00";45;21,55;18,3;26,6
"2022-01-01 00:00:00";46;23,13;20,3;26,6
"2022-01-02 00:00:00";46;23,45;20,7;25,3
"2022-01-03 00:00:00";47;22,7;19,9;26,3
"2022-01-04 00:00:00";47;22,72;20;26,7
"2022-01-05 00:00:00";47;22,81;20,1;26
"2022-01-06 00:00:00";46;23,16;19,7;26,7
"2022-01-07 00:00:00";44;23,12;20;25,5
"2022-01-08 00:00:00";42;23,11;20,6;26,7
"2022-01-09 00:00:00";42;23,07;20,4;26
"2022-01-10 00:00:00";41;21,85;18,5;25,5
"2022-01-11 00:00:00";40;21,31;18;25,9
"2022-01-12 00:00:00";40;21,33;17,7;25,6
"2022-01-13 00:00:00";41;21,26;17,6;25,4
"2022-01-14 00:00:00";42;21,92;18,6;26,1
"2022-01-15 00:00:00";43;22,74;20;25
"2022-01-16 00:00:00";44;23,37;20,2;26,4
"2022-01-17 00:00:00";43;23,5;21,3;25,9
"2022-01-18 00:00:00";41;23,18;19,8;25,9
"2022-01-19 00:00:00";43;23,08;20,3;26,4
"2022-01-20 00:00:00";42;23,37;20,3;26
"2022-01-21 00:00:00";39;23,68;19,9;26,9
"2022-01-22 00:00:00";39;22,85;19,6;25,8
"2022-01-23 00:00:00";40;23,08;19,9;26
"2022-01-24 00:00:00";40;23,63;20,8;26
"2022-01-25 00:00:00";42;23,55;20,8;26,4
"2022-01-26 00:00:00";44;23,44;21,3;26,4
"2022-01-27 00:00:00";43;22,18;19,4;25,3
"2022-01-28 00:00:00";42;21,74;18,6;26,2
"2022-01-29 00:00:00";41;22,51;18,4;26
"2022-01-30 00:00:00";43;23,15;20,4;26,4
"2022-01-31 00:00:00";43;23,41;21,2;25,8
"2022-02-01 00:00:00";42;21,92;19;25,6
"2022-02-02 00:00:00";43;21,35;17,9;25,4
"2022-02-03 00:00:00";42;21,63;18,7;25,4
"2022-02-04 00:00:00";44;21,36;18,6;25,2
"2022-02-05 00:00:00";45;22,29;18,8;26,1
"2022-02-06 00:00:00";44;23,02;20;26,1
"2022-02-07 00:00:00";45;22,22;19,5;25,2
"2022-02-08 00:00:00";44;21,73;18,4;25,4
"2022-02-09 00:00:00";45;21,84;19,4;25,1
"2022-02-10 00:00:00";47;21,78;19,2;25,7
"2022-02-11 00:00:00";46;22,84;19,9;26
"2022-02-12 00:00:00";42;23,76;20,3;27,1
"2022-02-13 00:00:00";41;23,58;20,9;26
"2022-02-14 00:00:00";42;22,25;20,3;25,4
"2022-02-15 00:00:00";42;22,34;19,8;26,2
"2022-02-16 00:00:00";43;22,58;20,3;26,1
"2022-02-17 00:00:00";44;23,48;21,5;25,8
"2022-02-18 00:00:00";43;22,65;20,4;26,4
"2022-02-19 00:00:00";43;22,72;20,2;25,5
"2022-02-20 00:00:00";44;23,01;20,1;26
"2022-02-21 00:00:00";45,3068181818182;22,5159090909091;20,2;26